species,dd_long,dd_lat
Taractrocera_maevius,73.26532,34.47181
Taractrocera_maevius,74.23011,32.46974
Telicota_ancilla,73.54406,33.76402
Telicota_ancilla,74.05792,31.48446
Telicota_augias,72.71528,33.68843
Telicota_augias,74.15328,31.36645
Caprona_agama,73.43178,34.13405
Caprona_agama,73.21763,33.87230
Caprona_agama,73.57587,33.85612
Caprona_agama,73.21644,33.59153
Caprona_agama,73.56503,33.70455
Caprona_agama,73.41988,33.75928
Caprona_agama,73.42464,33.91870
Caprona_alida,73.13941,33.86535
Caprona_alida,73.44993,33.82490
Caprona_alida,73.37033,33.69082
Caprona_alida,73.08620,33.61028
Caprona_alida,73.02458,33.42136
Caprona_alida,73.27231,33.41485
Carcharodus_alceae,67.11697,30.31809
Carcharodus_alceae,67.34750,30.44759
Carcharodus_alceae,73.58557,34.02730
Carcharodus_alceae,73.44035,34.37751
Carcharodus_alceae,73.50630,34.75830
Carcharodus_alceae,72.73674,36.16357
Carcharodus_alceae,72.62435,35.35308
Carcharodus_alceae,71.99409,35.90754
Carcharodus_alceae,71.81658,35.76810
Carcharodus_alceae,71.98445,35.63665
Carcharodus_alceae,71.96429,35.49998
Carcharodus_alceae,71.77120,35.35694
Carcharodus_alceae,71.97304,35.22776
Carcharodus_alceae,71.96554,35.08874
Carcharodus_alceae,72.10503,34.92035
Carcharodus_alceae,72.34892,34.93963
Carcharodus_alceae,71.76557,34.32793
Carcharodus_alceae,71.59389,34.19711
Carcharodus_alceae,75.08611,34.42453
Carcharodus_alceae,66.96144,30.10712
Carcharodus_dravira,67.08943,30.32866
Carcharodus_dravira,67.25861,30.46691
Carcharodus_dravira,67.53820,30.50260
Carcharodus_dravira,67.22768,30.22587
Carcharodus_dravira,67.07037,30.19148
Carcharodus_dravira,66.97535,28.23263
Carcharodus_dravira,66.87808,30.07976
Carcharodus_dravira,71.43094,36.57793
Carcharodus_dravira,75.24212,34.87715
Carcharodus_dravira,74.88330,34.49787
Carcharodus_dravira,72.78589,36.12287
Carcharodus_dravira,72.54854,35.32515
Carcharodus_dravira,71.94547,35.11731
Carcharodus_dravira,72.06356,35.52324
Carcharodus_dravira,71.86559,35.54037
Carcharodus_dravira,71.95696,35.66601
Carcharodus_dravira,71.70569,35.68504
Carcharodus_dravira,71.84846,35.82020
Carcharodus_dravira,71.73615,35.85446
Carcharodus_dravira,71.79896,35.99723
Carcharodus_dravira,73.45055,34.13499
Carcharodus_dravira,74.25594,33.44364
Celaenorrhinus_leucocera,73.17930,33.91754
Celaenorrhinus_leucocera,73.46103,34.14216
Celaenorrhinus_leucocera,73.53773,34.33737
Celaenorrhinus_leucocera,73.54553,34.59914
Celaenorrhinus_munda,73.23400,33.85987
Celaenorrhinus_munda,73.57855,33.98360
Celaenorrhinus_munda,73.41960,34.11959
Celaenorrhinus_munda,73.43745,34.26771
Celaenorrhinus_ratna,73.67282,34.66216
Coladenia_dan,73.27497,34.15954
Coladenia_indrani,73.24074,34.23741
Coladenia_indrani,73.23831,33.87181
Erymnis_pathan,73.99822,36.00814
Erymnis_pathan,73.81262,36.07714
Erymnis_pathan,72.62924,36.02479
Erymnis_pathan,71.94930,35.92204
Erymnis_pathan,71.78131,35.77332
Erymnis_pathan,72.00474,35.70123
Erymnis_pathan,72.56504,35.23275
Erymnis_pathan,71.98513,35.19676
Erymnis_pathan,71.99353,35.00248
Erymnis_pathan,70.03946,32.83904
Erymnis_pathan,69.85410,32.71169
Erymnis_pathan,69.85521,31.61515
Erymnis_pathan,68.10374,31.00651
Erymnis_pathan,74.34681,36.19968
Erymnis_pathan,67.53901,30.95359
Erymnis_pathan,67.67892,30.79441
Erymnis_pathan,67.52991,30.68127
Erymnis_pathan,67.39041,30.54016
Erymnis_pathan,67.21974,30.46914
Erymnis_pathan,67.05778,30.79941
Gomalia_elma,73.23177,33.50667
Gomalia_elma,66.76027,30.08279
Gomalia_elma,67.14586,29.81673
Gomalia_elma,73.60177,33.99042
Gomalia_elma,73.05902,33.64611
Gomalia_elma,66.97492,24.96643
Lobocla_liliana,73.54676,34.02176
Muschampia_musta,71.74978,35.06130
Muschampia_musta,71.78404,35.22310
Muschampia_musta,71.79356,35.48579
Muschampia_musta,71.76310,35.67996
Muschampia_musta,71.69457,35.86841
Muschampia_musta,71.99465,35.92517
Muschampia_musta,71.96134,36.14171
Muschampia_musta,71.74600,36.08103
Muschampia_phil,67.48618,30.58132
Muschampia_phil,67.72413,30.64318
Muschampia_phil,67.72651,30.38977
Muschampia_phil,67.42194,30.36003
Muschampia_phil,67.31605,30.48019
Muschampia_plurimacula,67.05176,30.20637
Muschampia_plurimacula,67.22085,30.35860
Muschampia_plurimacula,67.67892,30.60820
Muschampia_plurimacula,68.24230,30.51107
Muschampia_plurimacula,68.06689,30.65282
Odontoptilum_angulata,73.11692,33.81778
Odontoptilum_angulata,73.36542,34.30541
